city_country,latitude,longitude
Boston USA,42.3143655,-70.9700245
London UK,51.5287398,-0.2664031
Seattle USA,47.6088285,-122.5046032
Singapore Singapore,1.3143379,103.6794405
Los Angeles USA,34.0206084,-118.7413725
Chicago USA,41.8338486,-87.8966852
Remote Global,24.174053868665872,-41.29923337916339
Bangalore India,12.9542802,77.4661301
Tokyo Japan,35.5085647,139.1104357
Beijing China,39.9389436,116.0678228
Toronto Canada,43.718371,-79.542864
Dubai UAE,25.0762805,54.8978434
Amsterdam Netherlands,52.3547418,4.8215606
Paris France,48.8589385,2.2646341
Sydney Australia,-33.8472349,150.6023391
Berlin Germany,52.5069712,13.2599492
Zurich Switzerland,47.3775285,8.4543355
San Francisco USA,37.7577607,-122.4787995
Austin USA,30.2963072,-97.897778
New York USA,40.6972846,-74.1443124